DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
201716510;12/22/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201716222;12/11/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
211704220;01/04/2021 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201713959;10/02/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201706840;03/04/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201710668;07/01/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201716355;12/17/2020 12:00:00 AM;Devonshire ;TRESPASSING                                             
201713644;09/25/2020 12:00:00 AM;Devonshire ;ROBBERY                                                 
201700832;10/01/2020 12:00:00 AM;Devonshire ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201707692;03/25/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201711692;07/28/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201708792;05/04/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201708477;04/24/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201706181;02/18/2020 12:00:00 AM;Devonshire ;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                
201705570;02/05/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201715234;11/10/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201716047;12/05/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201709960;06/12/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201709380;05/23/2020 12:00:00 AM;Devonshire ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201700622;03/10/2020 12:00:00 AM;Devonshire ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201711448;07/13/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201707649;03/24/2020 12:00:00 AM;Devonshire ;DISCHARGE FIREARMS/SHOTS FIRED                          
201708776;05/04/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201715905;12/01/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
211704913;01/25/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201708369;04/20/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201705982;02/10/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201711458;07/22/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201705980;02/13/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201707698;03/24/2020 12:00:00 AM;Devonshire ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201711672;07/28/2020 12:00:00 AM;Devonshire ;VIOLATION OF COURT ORDER                                
201711310;07/20/2020 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      
201705529;02/04/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201713085;09/10/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
211704367;01/12/2021 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201710942;07/09/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201711883;08/05/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
211704812;12/28/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201710691;07/02/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201715741;11/25/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201712820;08/09/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201709261;05/19/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201711878;08/04/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201708510;04/26/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201714202;10/10/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201716622;12/25/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201704685;01/15/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201704875;01/22/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201711074;07/13/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201714059;10/07/2020 12:00:00 AM;Devonshire ;BURGLARY, ATTEMPTED                                     
201710005;05/20/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201710702;07/02/2020 12:00:00 AM;Devonshire ;VIOLATION OF RESTRAINING ORDER                          
201709581;05/30/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201705213;01/30/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201704114;01/03/2020 12:00:00 AM;Devonshire ;TRESPASSING                                             
201710369;06/25/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201706396;02/22/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201705835;02/10/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201707393;03/16/2020 12:00:00 AM;Devonshire ;VEHICLE - ATTEMPT STOLEN                                
201710229;06/22/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201711508;07/23/2020 12:00:00 AM;Devonshire ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201706875;02/28/2020 12:00:00 AM;Devonshire ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201713134;09/11/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201715599;11/20/2020 12:00:00 AM;Devonshire ;VIOLATION OF COURT ORDER                                
201709505;05/27/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201709652;06/02/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201707380;03/16/2020 12:00:00 AM;Devonshire ;ROBBERY                                                 
201700900;11/28/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201708069;04/09/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201711248;07/18/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
211706373;03/10/2021 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201709809;05/16/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201712635;08/28/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201712079;08/08/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201708490;04/25/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201705642;02/07/2020 12:00:00 AM;Devonshire ;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                
201713393;09/18/2020 12:00:00 AM;Devonshire ;BURGLARY, ATTEMPTED                                     
201712042;08/09/2020 12:00:00 AM;Devonshire ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
211705044;01/06/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201704162;01/03/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201710461;06/26/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201713658;09/26/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201700534;01/17/2020 12:00:00 AM;Devonshire ;TRESPASSING                                             
211704657;11/03/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201714358;10/17/2020 12:00:00 AM;Devonshire ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201708433;04/22/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201713516;09/21/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201716517;12/22/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201716247;12/14/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201713812;09/30/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
211710549;07/02/2021 12:00:00 AM;Devonshire ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201715937;12/03/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201704937;01/23/2020 12:00:00 AM;Devonshire ;TRESPASSING                                             
201715922;12/02/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201713033;09/07/2020 12:00:00 AM;Devonshire ;BUNCO, PETTY THEFT                                      
201705796;02/11/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201716076;12/07/2020 12:00:00 AM;Devonshire ;OTHER MISCELLANEOUS CRIME                               
201712483;08/24/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201711216;07/16/2020 12:00:00 AM;Devonshire ;OTHER ASSAULT                                           
201709407;05/06/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
211704808;01/02/2021 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201712782;09/01/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201707260;03/11/2020 12:00:00 AM;Devonshire ;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                
201716123;12/08/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201707323;03/13/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201713022;09/08/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201715445;11/16/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201708650;04/24/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201709199;05/18/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201714927;10/30/2020 12:00:00 AM;Devonshire ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201715958;12/03/2020 12:00:00 AM;Devonshire ;EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)                
201715744;11/24/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201711407;07/22/2020 12:00:00 AM;Devonshire ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201707803;03/30/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201713499;09/21/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201707663;03/24/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201704023;01/01/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201710320;06/23/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201711045;07/13/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201712251;08/17/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201706086;02/18/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201706012;02/16/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201707965;04/05/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201709649;06/02/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201706240;02/20/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201716287;12/15/2020 12:00:00 AM;Devonshire ;TRESPASSING                                             
201706314;02/23/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201707636;03/22/2020 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201715015;11/03/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201710610;06/30/2020 12:00:00 AM;Devonshire ;BRANDISH WEAPON                                         
201711168;07/16/2020 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201710204;06/19/2020 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201709635;06/02/2020 12:00:00 AM;Devonshire ;ARSON                                                   
201709995;06/13/2020 12:00:00 AM;Devonshire ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
